Gene_symbol;log2FoldChange;padj;Group
il6st;0,582525966;6,38655E-26;Wound
apoa4a;0,101278884;0,874658161;Wound
serpina1;-0,027859869;0,884062082;Wound
ctsc;0,011308236;0,982563214;Wound
alox5b.3;-1,918935826;0,031045279;Wound
tgm2a;-0,00602086;0,990683766;Wound
pxnb;-0,003718784;0,997409591;Wound
icam3;0,693477467;1,98631E-05;Wound
mpeg1.2;0,999156061;6,6007E-09;Wound
col4a1;0,03969827;0,826456915;Wound
mmp24;0,068761652;0,885759809;Wound
dusp5;0,325745866;0,699556148;Wound
cyldb;0,162501973;0,776544399;Wound
rasgrp3;0,161954353;0,917570113;Wound
hspa1b;-0,085000923;0,942669152;Wound
hsp90aa1.2;-0,197559901;0,004172164;Wound
hsf2;0,217556849;0,159304909;Wound
itga2.2;-0,012761891;0,991861392;Wound
itga4;-0,014715242;0,988121223;Wound
fgl2a;0,964318817;7,97496E-06;Wound
fgl2b;-0,038346845;0,983326026;Wound
ptx3a;-0,410256849;0,025540724;Wound
map2k6;-0,318067684;0,000124202;Wound
pik3r2;-0,073385529;0,941426544;Wound
sele;0,709818462;0,023177483;Wound
jag2a;-0,019085743;0,990683766;Wound
tyk2;0,138052115;0,658699576;Wound
mapk1;0,086729228;0,749800344;Wound
mmp13a;0,886981578;0,002189796;Wound
hmga1a;-0,035013599;0,640520363;Wound
hmgb2b;-0,078727567;0,220222976;Wound
sub1b;0,240513061;0,968988269;Wound
mych;-0,112783024;0,510242934;Wound
nfyba;-0,041327053;0,911276981;Wound
MACIR;-0,018947524;0,991479412;Wound
caspb;0,042604293;0,860077463;Wound
fn1a;0,037348211;0,908702288;Wound
fn1b;0,33689762;8,02086E-09;Wound
gsdmeb;0,02017665;0,983286312;Wound
il6st;0,371271452;0,000739619;5 然 TnP
apoa4a;-0,155408773;0,903245664;5 然 TnP
serpina1;0,085759004;0,83137935;5 然 TnP
ctsc;0,135701994;0,763097737;5 然 TnP
alox5b.3;2,002606774;0,03770935;5 然 TnP
tgm2a;-0,046794245;0,919471524;5 然 TnP
pxnb;0,356871064;0,784593046;5 然 TnP
icam3;0,382180904;0,634466254;5 然 TnP
mpeg1.2;-0,374977678;0,5387469;5 然 TnP
col4a1;0,098267228;0,912128899;5 然 TnP
mmp24;0,345689822;0,763097737;5 然 TnP
dusp5;0,023170506;0,991071717;5 然 TnP
cyldb;-2,474800925;4,78518E-05;5 然 TnP
rasgrp3;0,298134632;0,89634499;5 然 TnP
hspa1b;-0,033873266;0,982370885;5 然 TnP
hsp90aa1.2;-0,622156359;4,5023E-08;5 然 TnP
hsf2;-0,047430968;0,949544406;5 然 TnP
itga2.2;0,445346463;0,708698283;5 然 TnP
itga4;0,392322138;0,634466254;5 然 TnP
fgl2a;-0,157722645;0,848631711;5 然 TnP
fgl2b;-0,090026018;0,967018281;5 然 TnP
ptx3a;-0,070888494;0,947829281;5 然 TnP
map2k6;-0,181375861;0,632741443;5 然 TnP
pik3r2;0,002186185;0,999562083;5 然 TnP
sele;0,165129531;0,862778883;5 然 TnP
jag2a;0,055912905;0,977075685;5 然 TnP
tyk2;0,161840051;0,757171874;5 然 TnP
mapk1;0,117946222;0,876541807;5 然 TnP
mmp13a;0,450896261;0,687597332;5 然 TnP
hmga1a;0,008035729;0,977677389;5 然 TnP
hmgb2b;-0,214386168;0,808640733;5 然 TnP
sub1b;-1,256197155;0,426254815;5 然 TnP
mych;-0,286876131;0,186542384;5 然 TnP
nfyba;-0,238603796;0,808640733;5 然 TnP
MACIR;-0,20016568;0,903898853;5 然 TnP
caspb;-0,104905574;0,772360461;5 然 TnP
fn1a;-0,095674732;0,86312412;5 然 TnP
fn1b;0,203547213;0,595351333;5 然 TnP
gsdmeb;0,104885828;0,890483166;5 然 TnP
il6st;0,474489034;0,030275026;100 然 TnP
apoa4a;-0,708694874;0,006058371;100 然 TnP
serpina1;0,041426331;0,773513873;100 然 TnP
ctsc;0,279298629;0,04567462;100 然 TnP
alox5b.3;1,705888701;NA;100 然 TnP
tgm2a;-0,324074532;0,005362625;100 然 TnP
pxnb;0,507344166;0,257462891;100 然 TnP
icam3;0,395559981;0,034196897;100 然 TnP
mpeg1.2;0,58653584;0,001158395;100 然 TnP
col4a1;0,25010259;0,245525669;100 然 TnP
mmp24;0,33980542;0,419722297;100 然 TnP
dusp5;0,3329778;0,546192411;100 然 TnP
cyldb;-1,721454113;2,28323E-07;100 然 TnP
rasgrp3;0,788185834;0,05;100 然 TnP
hspa1b;0,208098749;0,769782918;100 然 TnP
hsp90aa1.2;-0,768208896;1,68667E-06;100 然 TnP
hsf2;-0,154587797;0,602953285;100 然 TnP
itga2.2;0,368979084;0,431312615;100 然 TnP
itga4;0,580086383;0,098477211;100 然 TnP
fgl2a;0,135237126;0,693569852;100 然 TnP
fgl2b;0,811891762;0,040326034;100 然 TnP
ptx3a;0,388656388;0,05;100 然 TnP
map2k6;-0,281816698;0,032355469;100 然 TnP
pik3r2;0,334473804;0,571968672;100 然 TnP
sele;0,434709551;0,05;100 然 TnP
jag2a;0,519190183;0,304009776;100 然 TnP
tyk2;0,479641125;0,021712249;100 然 TnP
mapk1;0,283655654;0,435272889;100 然 TnP
mmp13a;-0,109985848;0,805219908;100 然 TnP
hmga1a;-0,077474196;0,357394603;100 然 TnP
hmgb2b;-0,497836733;0,131564019;100 然 TnP
sub1b;-1,217233657;0,041731682;100 然 TnP
mych;-0,20325652;0,296611624;100 然 TnP
nfyba;-0,552758469;0,042643515;100 然 TnP
MACIR;-0,00714396;0,991760144;100 然 TnP
caspb;-0,294535704;0,017690736;100 然 TnP
fn1a;0,117255062;0,68701927;100 然 TnP
fn1b;0,44178917;0,037085348;100 然 TnP
gsdmeb;0,408941923;0,049158169;100 然 TnP
